流水号,序号,主体,账户,交易日期,借（流出）,贷（流入）,账户余额,对方账户名称,对方账户,摘要,用途,交易类型,
CMB2026061200001,1,招商银行,1234 5678 9012 3456,2026/6/12,,285000,5285000,广州科技有限公司,6225 8888 1234 5678,业务回款,业务收入,对公转账,
CMB2026061200002,2,招商银行,1234 5678 9012 3456,2026/6/12,,520000,5805000,深圳创新科技股份公司,6225 9999 2345 6789,项目款到账,业务收入,对公转账,
CMB2026061200003,3,招商银行,1234 5678 9012 3456,2026/6/12,,1280.5,5806280.5,招商银行总行,系统账户,活期利息收入,利息收入,利息结息,
CMB2026061200004,4,招商银行,1234 5678 9012 3456,2026/6/12,,380000,6186280.5,北京数字科技有限公司,6225 7777 3456 7890,服务费回款,业务收入,对公转账,
CMB2026061200005,5,招商银行,1234 5678 9012 3456,2026/6/12,"3,200.00",,6183080.5,张明,6214 0012 3456 7890,员工差旅报销,差旅报销,个人汇款,
CMB2026061200006,6,招商银行,1234 5678 9012 3456,2026/6/12,1850,,6181230.5,李晓静,6214 0098 7654 3210,员工交通报销,交通报销,个人汇款,
CMB2026061200007,7,招商银行,1234 5678 9012 3456,2026/6/12,"4,600.00",,6176630.5,王建国,6228 4800 1234 5678,差旅费报销-北京出差,差旅报销,个人汇款,
CMB2026061200008,8,招商银行,1234 5678 9012 3456,2026/6/12,12800,,6163830.5,广州联华办公用品公司,6225 3344 5566 7788,办公设备采购,办公费报销,对公转账,
CMB2026061200009,9,招商银行,1234 5678 9012 3456,2026/6/12,85000,,6078830.5,阿里云计算有限公司,6225 1122 3344 5566,云服务费6月,云服务费,对公转账,
CMB2026061200010,10,招商银行,1234 5678 9012 3456,2026/6/12,2300,,6076530.5,陈雪梅,6214 0055 6677 8899,办公用品报销,办公费报销,个人汇款,
PAB2026061200001,1,平安银行,8888 1234 5678 0001,2026/6/12,,198000,3398000,上海贸易集团有限公司,6230 5566 7788 9900,货款回收,业务收入,对公转账,
PAB2026061200002,2,平安银行,8888 1234 5678 0001,2026/6/12,,156500,3554500,杭州互联网科技公司,6230 6677 8899 0011,咨询服务费回款,业务收入,对公转账,
PAB2026061200003,3,平安银行,8888 1234 5678 0001,2026/6/12,,680.30,3555180.3,平安银行,系统账户,定期利息到期,利息收入,利息结息,
PAB2026061200004,4,平安银行,8888 1234 5678 0001,2026/6/12,,"92,000.00",3647180.3,成都软件科技股份公司,6230 7788 9900 1122,项目尾款,业务收入,对公转账,
PAB2026061200005,5,平安银行,8888 1234 5678 0001,2026/6/12,5400,,3641780.3,刘梦婷,6225 0011 2233 4455,北京出差报销,差旅报销,个人汇款,
PAB2026061200006,6,平安银行,8888 1234 5678 0001,2026/6/12,2100,,3639680.3,赵磊,6225 0022 3344 5566,交通出行报销,交通报销,个人汇款,
PAB2026061200007,7,平安银行,8888 1234 5678 0001,2026/6/12,3800,,3635880.3,孙小波,6225 0033 4455 6677,上海差旅报销,差旅报销,个人汇款,
PAB2026061200008,8,平安银行,8888 1234 5678 0001,2026/6/12,46800,,3589080.3,深圳腾科系统服务公司,6230 4455 6677 8899,支付系统服务费Q2,系统服务费,对公转账,
